"record_num","id","latitude","longitude","label","updated_at","occupancy_status","direction_id","current_stop_sequence"
7244,"y1783",42.34502741,-71.08657578,"1783","2023-06-14T19:46:28-04:00","",0,12
7245,"y1778",42.36964,-71.11215,"1778","2023-06-14T19:46:28-04:00","MANY_SEATS_AVAILABLE",1,4
7246,"y1772",42.33194647,-71.07912202,"1772","2023-06-14T19:46:28-04:00","MANY_SEATS_AVAILABLE",1,21
7247,"y1877",42.34092,-71.08227,"1877","2023-06-14T19:46:37-04:00","MANY_SEATS_AVAILABLE",1,16
7248,"y1863",42.33624051,-71.07689245,"1863","2023-06-14T19:46:32-04:00","MANY_SEATS_AVAILABLE",0,8
7249,"y1817",42.37132526,-71.11462537,"1817","2023-06-14T19:46:40-04:00","MANY_SEATS_AVAILABLE",0,23
7250,"y1786",42.35757902,-71.09293966,"1786","2023-06-14T19:46:42-04:00","FEW_SEATS_AVAILABLE",1,10
7251,"y1783",42.34525366,-71.08680276,"1783","2023-06-14T19:46:42-04:00","",0,12
7252,"y1778",42.36915694,-71.11091702,"1778","2023-06-14T19:46:39-04:00","MANY_SEATS_AVAILABLE",1,4
7253,"y1772",42.33258255,-71.08058264,"1772","2023-06-14T19:46:41-04:00","MANY_SEATS_AVAILABLE",1,22
7254,"y1877",42.34092,-71.08227,"1877","2023-06-14T19:46:37-04:00","MANY_SEATS_AVAILABLE",1,16
7255,"y1863",42.33624051,-71.07689245,"1863","2023-06-14T19:46:32-04:00","MANY_SEATS_AVAILABLE",0,8
7256,"y1817",42.37171316,-71.11490126,"1817","2023-06-14T19:46:50-04:00","MANY_SEATS_AVAILABLE",0,23
7257,"y1786",42.35663548,-71.09240121,"1786","2023-06-14T19:46:52-04:00","FEW_SEATS_AVAILABLE",1,11
7258,"y1783",42.34525511,-71.0867975,"1783","2023-06-14T19:46:44-04:00","",0,12
7259,"y1778",42.36898367,-71.11046809,"1778","2023-06-14T19:46:48-04:00","MANY_SEATS_AVAILABLE",1,4
7260,"y1772",42.33277749,-71.08082158,"1772","2023-06-14T19:46:52-04:00","MANY_SEATS_AVAILABLE",1,22
7261,"y1877",42.3408094,-71.08211946,"1877","2023-06-14T19:47:01-04:00","MANY_SEATS_AVAILABLE",1,16
7262,"y1863",42.33624051,-71.07689245,"1863","2023-06-14T19:46:32-04:00","MANY_SEATS_AVAILABLE",0,8
7263,"y1817",42.37187701,-71.11515852,"1817","2023-06-14T19:46:58-04:00","MANY_SEATS_AVAILABLE",0,23
7264,"y1786",42.35571215,-71.09193227,"1786","2023-06-14T19:47:00-04:00","FEW_SEATS_AVAILABLE",1,11
7265,"y1783",42.34604382,-71.08717799,"1783","2023-06-14T19:47:00-04:00","",0,12
7266,"y1778",42.36883609,-71.10969595,"1778","2023-06-14T19:46:57-04:00","MANY_SEATS_AVAILABLE",1,4
7267,"y1772",42.33276,-71.08084,"1772","2023-06-14T19:47:02-04:00","MANY_SEATS_AVAILABLE",1,22
7268,"y1877",42.34039695,-71.08155599,"1877","2023-06-14T19:47:11-04:00","MANY_SEATS_AVAILABLE",1,16
7269,"y1863",42.33624051,-71.07689245,"1863","2023-06-14T19:46:32-04:00","MANY_SEATS_AVAILABLE",0,8
7270,"y1817",42.37247856,-71.11604493,"1817","2023-06-14T19:47:14-04:00","MANY_SEATS_AVAILABLE",0,23
7271,"y1786",42.35450524,-71.09135068,"1786","2023-06-14T19:47:13-04:00","FEW_SEATS_AVAILABLE",1,11
7272,"y1783",42.34686762,-71.08761047,"1783","2023-06-14T19:47:11-04:00","",0,12
7273,"y1778",42.36867002,-71.109297,"1778","2023-06-14T19:47:08-04:00","MANY_SEATS_AVAILABLE",1,4
7274,"y1772",42.33282617,-71.08092119,"1772","2023-06-14T19:47:13-04:00","MANY_SEATS_AVAILABLE",1,22
7275,"y1877",42.33983711,-71.08091683,"1877","2023-06-14T19:47:24-04:00","MANY_SEATS_AVAILABLE",1,16
7276,"y1863",42.33627967,-71.07692806,"1863","2023-06-14T19:47:26-04:00","MANY_SEATS_AVAILABLE",0,8
7277,"y1817",42.37274361,-71.11671476,"1817","2023-06-14T19:47:24-04:00","MANY_SEATS_AVAILABLE",0,24
7278,"y1786",42.35326399,-71.09061863,"1786","2023-06-14T19:47:25-04:00","FEW_SEATS_AVAILABLE",1,11
7279,"y1783",42.34746811,-71.08780616,"1783","2023-06-14T19:47:25-04:00","",0,13
7280,"y1778",42.3683072,-71.10863822,"1778","2023-06-14T19:47:23-04:00","MANY_SEATS_AVAILABLE",1,5
7281,"y1772",42.33282504,-71.08120729,"1772","2023-06-14T19:47:25-04:00","MANY_SEATS_AVAILABLE",1,22
7282,"y1877",42.33964869,-71.08075139,"1877","2023-06-14T19:47:31-04:00","MANY_SEATS_AVAILABLE",1,16
7283,"y1863",42.33655784,-71.07702686,"1863","2023-06-14T19:47:30-04:00","MANY_SEATS_AVAILABLE",0,8
7284,"y1817",42.37291,-71.11693,"1817","2023-06-14T19:47:30-04:00","MANY_SEATS_AVAILABLE",0,1
7285,"y1786",42.35231863,-71.09014737,"1786","2023-06-14T19:47:34-04:00","FEW_SEATS_AVAILABLE",1,11
7286,"y1783",42.34770638,-71.08797574,"1783","2023-06-14T19:47:29-04:00","",0,13
7287,"y1778",42.3677551,-71.10758197,"1778","2023-06-14T19:47:34-04:00","MANY_SEATS_AVAILABLE",1,5
